193,Gondisamudram,,389,4,,,2019-10-18 09:14:17.0002,2019-10-18 09:14:17.0002,,,,,,
194,Nakshatranagar,,389,4,,,2019-10-18 09:14:17.040192,2019-10-18 09:14:17.040192,,,,,,
195,Ganagadipalem,,514,4,,,2019-10-18 09:14:17.073916,2019-10-18 09:14:17.073916,,,,,,
196,Lakshmipuram,,514,4,,,2019-10-18 09:14:17.097606,2019-10-18 09:14:17.097606,,,,,,
197,Lankevanidibba,,514,4,,,2019-10-18 09:14:17.1279,2019-10-18 09:14:17.1279,,,,,,
198,Mollagunta,,514,4,,,2019-10-18 09:14:17.156336,2019-10-18 09:14:17.156336,,,,,,
199,Penumudi,,514,4,,,2019-10-18 09:14:17.191796,2019-10-18 09:14:17.191796,,,,,,
200,Santhinagar,,514,4,,,2019-10-18 09:14:17.218625,2019-10-18 09:14:17.218625,,,,,,
201,Ameen nagar,,102,7,,,2019-10-18 09:14:17.25079,2019-10-18 09:14:17.25079,,,,,,
202,Bapaiah nagar,,102,7,,,2019-10-18 09:14:17.280052,2019-10-18 09:14:17.280052,,,,,,
203,Chinaganjam peddapallipalem,,102,7,,,2019-10-18 09:14:17.316032,2019-10-18 09:14:17.316032,,,,,,
204,Jeedichetlapalem,,102,7,,,2019-10-18 09:14:17.341948,2019-10-18 09:14:17.341948,,,,,,
205,Katamvaripalem,,102,7,,,2019-10-18 09:14:17.366806,2019-10-18 09:14:17.366806,,,,,,
206,Koduruvaripalem,,102,7,,,2019-10-18 09:14:17.392307,2019-10-18 09:14:17.392307,,,,,,
207,Kunkuduchetlapalem,,102,7,,,2019-10-18 09:14:17.413931,2019-10-18 09:14:17.413931,,,,,,
208,Neerikshanagiri,,102,7,,,2019-10-18 09:14:17.43944,2019-10-18 09:14:17.43944,,,,,,
209,Padamatipallipalem,,102,7,,,2019-10-18 09:14:17.472222,2019-10-18 09:14:17.472222,,,,,,
210,Peddaganjampallipalem,,102,7,,,2019-10-18 09:14:17.495245,2019-10-18 09:14:17.495245,,,,,,
211,Prasanthnagar,,102,7,,,2019-10-18 09:14:17.528976,2019-10-18 09:14:17.528976,,,,,,
212,Ramachandranagar,,102,7,,,2019-10-18 09:14:17.551988,2019-10-18 09:14:17.551988,,,,,,
213,Rudramambapuram,,102,7,,,2019-10-18 09:14:17.599821,2019-10-18 09:14:17.599821,,,,,,
214,Thurupupallipalem,,102,7,,,2019-10-18 09:14:17.623131,2019-10-18 09:14:17.623131,,,,,,
215,Yetimoga,,102,7,,,2019-10-18 09:14:17.658846,2019-10-18 09:14:17.658846,,,,,,
216,Vadarevupallipalem,,110,7,,,2019-10-18 09:14:17.684262,2019-10-18 09:14:17.684262,,,,,,
218,Vodarevu,,110,7,,,2019-10-18 09:14:17.751051,2019-10-18 09:14:17.751051,,,,,,
219,Avulavaripalem,,179,7,,,2019-10-18 09:14:17.766778,2019-10-18 09:14:17.766778,,,,,,
220,Karlapalem,,179,7,,,2019-10-18 09:14:17.789382,2019-10-18 09:14:17.789382,,,,,,
221,Mondivaripalem,,179,7,,,2019-10-18 09:14:17.809108,2019-10-18 09:14:17.809108,,,,,,
222,Chenchupapaiahpalem,,278,7,,,2019-10-18 09:14:17.837212,2019-10-18 09:14:17.837212,,,,,,
223,Eethamukkala pallipalem,,278,7,,,2019-10-18 09:14:17.854725,2019-10-18 09:14:17.854725,,,,,,
224,Gundamala chinapallipalem,,278,7,,,2019-10-18 09:14:17.875424,2019-10-18 09:14:17.875424,,,,,,
225,Gundamala christian pallipalem,,278,7,,,2019-10-18 09:14:17.91359,2019-10-18 09:14:17.91359,,,,,,
226,Gundamala peddapallipalem,,278,7,,,2019-10-18 09:14:17.934672,2019-10-18 09:14:17.934672,,,,,,
227,Kothapatnam north pallipalem,,278,7,,,2019-10-18 09:14:17.95445,2019-10-18 09:14:17.95445,,,,,,
228,Kothapatnam south pallipalem,,278,7,,,2019-10-18 09:14:17.975405,2019-10-18 09:14:17.975405,,,,,,
229,Kurupanagar,,278,7,,,2019-10-18 09:14:18.00944,2019-10-18 09:14:18.00944,,,,,,
230,Madanuru chinnapattapu kothapalem,,278,7,,,2019-10-18 09:14:18.02851,2019-10-18 09:14:18.02851,,,,,,
231,Madanuru chinnapattapu pathapalem,,278,7,,,2019-10-18 09:14:18.050167,2019-10-18 09:14:18.050167,,,,,,
232,Madanuru pedapattapu kothapalem,,278,7,,,2019-10-18 09:14:18.074179,2019-10-18 09:14:18.074179,,,,,,
233,Madanuru pedapattapu pathapalem,,278,7,,,2019-10-18 09:14:18.096282,2019-10-18 09:14:18.096282,,,,,,
234,Madanuru swarnadhra pattapupalem,,278,7,,,2019-10-18 09:14:18.115284,2019-10-18 09:14:18.115284,,,,,,
235,Pinnivaripalem,,278,7,,,2019-10-18 09:14:18.132719,2019-10-18 09:14:18.132719,,,,,,
236,Rajupalem china pattapupalem,,278,7,,,2019-10-18 09:14:18.156516,2019-10-18 09:14:18.156516,,,,,,
237,Rajupalem peda pattapupalem,,278,7,,,2019-10-18 09:14:18.18781,2019-10-18 09:14:18.18781,,,,,,
238,Vajjireddy pattapu palem,,278,7,,,2019-10-18 09:14:18.222523,2019-10-18 09:14:18.222523,,,,,,
239,Chinnamgaripalem,,360,7,,,2019-10-18 09:14:18.248216,2019-10-18 09:14:18.248216,,,,,,
240,Govindarao pallipalme,,360,7,,,2019-10-18 09:14:18.271577,2019-10-18 09:14:18.271577,,,,,,
241,Kanaparthipallepalem,,360,7,,,2019-10-18 09:14:18.289501,2019-10-18 09:14:18.289501,,,,,,
242,Mekalsomaiahpalem,,360,7,,,2019-10-18 09:14:18.317827,2019-10-18 09:14:18.317827,,,,,,
243,Vinodarayunipalem,,360,7,,,2019-10-18 09:14:18.342712,2019-10-18 09:14:18.342712,,,,,,
244,Chintayyagaripalem,,395,7,,,2019-10-18 09:14:18.371973,2019-10-18 09:14:18.371973,,,,,,
245,Gundayapalem,,395,7,,,2019-10-18 09:14:18.396101,2019-10-18 09:14:18.396101,,,,,,
246,Basinpallipalem,,550,7,,,2019-10-18 09:14:18.42269,2019-10-18 09:14:18.42269,,,,,,
247,Devalampallipalem,,550,7,,,2019-10-18 09:14:18.440917,2019-10-18 09:14:18.440917,,,,,,
248,Pakala chellammagari palem,,550,7,,,2019-10-18 09:14:18.464163,2019-10-18 09:14:18.464163,,,,,,
249,Pakala pallipalem,,550,7,,,2019-10-18 09:14:18.482477,2019-10-18 09:14:18.482477,,,,,,
250,Thallapalem,,575,7,,,2019-10-18 09:14:18.511326,2019-10-18 09:14:18.511326,,,,,,
251,Alagayapalem,,598,7,,,2019-10-18 09:14:18.533799,2019-10-18 09:14:18.533799,,,,,,
252,Chackicherla pallepalem,,598,7,,,2019-10-18 09:14:18.554361,2019-10-18 09:14:18.554361,,,,,,
