District Code,District Name,Mandal Code,Mandal Name,Panchayat Code,Panchayat Name
505,East Godavari,4894,Gangavaram,199128,Amudalabanda
515,SPSR Nellore,5158,Kavali,208630,Amudaladinne
510,Krishna,5035,Challapalle,202989,Amudalalanka
510,Krishna,5019,Bantumilli,202941,Amudalapalli
523,West Godavari,4968,Nidamarru,214784,Amudalapalli
506,Guntur,5094,Nizampatnam,200491,Amudalapalli
517,Prakasam,5120,Podili,235622,Amudalapalli
510,Krishna,5013,Unguturu,203750,Amudalapalli
515,SPSR Nellore,5186,Dakkili,208471,Amuduru
519,Srikakulam,4782,Nandigam,211088,Anadhapuram
503,Chittoor,5421,Chittoor,196909,Anagallu
515,SPSR Nellore,5195,Pellakur,208858,Anakavolu
523,West Godavari,4984,Bhimavaram,214321,Anakoderu
517,Prakasam,5122,Korisapadu,234722,Anamanamuru
510,Krishna,5014,Nandivada,203536,Anamanapudi
520,Visakhapatanam,4863,Anandapuram,211707,Anandapuram
521,Vizianagaram,4828,Gurla,212682,Anandapuram
520,Visakhapatanam,4860,K.Kotapadu,235892,Anandapuram
519,Srikakulam,4797,Ganguvarisigadam,210713,Anandhapurm
523,West Godavari,4985,Kalla,214605,Anandpuram
504,Y.S.R.,5247,Pullampeta,198652,Anantaiahgaripalli
502,Anantapur,5330,Anantapur,195806,Anantapur (RURAL)
515,SPSR Nellore,5160,Kaligiri,208588,Anantapuram
504,Y.S.R.,5249,Kodur,198394,Anantarajupeta
515,SPSR Nellore,5173,Ananthasagaram,208264,Anantasagaram
520,Visakhapatanam,4852,Nathavaram,212150,Anantha Padmanabhapuram
520,Visakhapatanam,4845,Ananthagiri,211733,Ananthagiri
504,Y.S.R.,5244,Penagalur,198578,Anantham Palli
504,Y.S.R.,5247,Pullampeta,198653,Anantham Palli
515,SPSR Nellore,5185,Sydapuram,208985,Ananthamadugu
523,West Godavari,4956,Nallajerla,214710,Ananthapalle
503,Chittoor,5421,Chittoor,196910,Ananthapuram
504,Y.S.R.,5199,Kondapuram,198415,Ananthapuram
504,Y.S.R.,5240,Lakkireddipalle,198443,Ananthapuram
517,Prakasam,5148,Kandukur,235405,Ananthasagaram
504,Y.S.R.,5247,Pullampeta,198654,Ananthasamudram
515,SPSR Nellore,5166,Dagadarthi,208450,Ananthavaram
506,Guntur,5088,Kollur,200300,Ananthavaram
506,Guntur,5051,Krosuru,200325,Ananthavaram
505,East Godavari,4932,Mummidivaram,199470,Ananthavaram
520,Visakhapatanam,4864,Padmanabham,212203,Ananthavaram
517,Prakasam,5141,Tangutur,234891,Ananthavaram
506,Guntur,5053,Thullur,200822,Ananthavaram
517,Prakasam,5107,Yeddana Pudi,234902,Ananthavaram
506,Guntur,5080,Vatticherukuru,200858,Ananthavarappadu
505,East Godavari,4917,Anaparthy,199056,Anaparthy
504,Y.S.R.,5210,Badvel,198167,Anatha Rajupuram
519,Srikakulam,4781,Vajrapukothuru,211619,Anathagiri
521,Vizianagaram,4820,Badangi,212332,Anavaram
506,Guntur,5059,Rajupalem,200661,Anchulavaripalem
515,SPSR Nellore,5198,Tada,209016,Andagundala
523,West Godavari,4983,Veeravasaram,215125,Andaluru
519,Srikakulam,4792,Jalumuru,210815,Andhavaram
520,Visakhapatanam,4846,Hukumpeta,211998,Andiba
521,Vizianagaram,4824,Mentada,212908,Andra
505,East Godavari,4923,Kajuluru,199210,Andrangi
506,Guntur,5062,Vinukonda,200906,Andugulapadu
506,Guntur,5051,Krosuru,200326,Andukur
515,SPSR Nellore,5158,Kavali,208631,Anemadugu
