mandal_name,village_code,village_name
377,596286,Aranyam Khandriga
583,582594,Arasabalaga
47,582285,Arasada
612,580814,Arasada
557,581554,Arasavilli (R) (OG)
112,596700,Arathala
422,586462,Aratla Kota
405,588774,Aratlakatla
247,587594,Aratlakatta
247,587594,Aratlakatta
558,595854,Aravakothuru
39,588562,Aravalli
39,588562,Aravalli
131,590643,Aravallipadu
514,590505,Aravapalle
361,592647,Aravaperimidi
37,591810,Aravedu
148,593491,Araveedu
342,593164,Aravetipalle
443,592670,Ardhamala
150,588571,Ardhavaram
30,590876,Ardhaveedu
599,588604,Aredu
5,594087,Arekal
468,590360,Aremanda
468,590360,Aremanda
468,590360,Aremanda
88,596021,Arepalle
97,590445,Arepalle
97,590445,Arepalle
519,590131,Arepalli Agraharam
190,595653,Arigalavaripalle
635,583024,Arigipalem
66,587538,Arikarevula
491,582508,Arikatota
497,596536,Arikela
14,594165,Arikera
286,588273,Arikirevula
532,581010,Arikivalasa
394,592446,Arimanipadu
425,583648,Arimera
536,596834,Arimuthanapalle
143,581690,Arinam Akkivalasa
372,589282,Aripirala
87,591447,Arivemula
400,584733,Arjapuram
92,585930,Arjunagiri Agraharam
134,594555,Arjunapuram
500,581637,Arjunavalasa
392,595461,Arkabhavipalle
149,588953,Arlapadu
217,586023,Arle
214,582064,Arnada
540,596317,Aroor
265,581808,Artham
52,589398,Arthamuru
160,582797,Arthamuru
323,587582,Arthamuru
599,588613,Arthamuru
613,595951,Arudur
613,595951,Arudur
54,589097,Arugolanu
567,588330,Arugolanu
567,588330,Arugolanu
567,588330,Arugolanu
90,589024,Arugolanupeta
657,595800,Arugorla Khandriga
567,588334,Arulla
97,590439,Arumbaka
97,590439,Arumbaka
97,590439,Arumbaka
388,596356,Arur
111,592605,Aruru
222,587617,Aryavatam
308,587966,Asannagudem
31,594187,Aspari
40,589776,Aswaraopalem
267,590939,Aswarayuni Palem
221,589342,Atapaka
185,581898,Atchaba
474,593222,Atchavalle
251,586323,Atcherla
80,588069,Atchiahpalem
466,581574,Atchipolavalasa
4,586858,Atchiyyapeta
165,587228,Atchutapuram
208,581102,Atchutapuram
245,912446,Atchutapuram
433,587513,Atchutapuratrayam
433,587513,Atchutapuratrayam
361,592644,Athalapalem
635,583026,Athava
394,592474,Athivaram
263,590277,Athota
388,596364,Athur
388,596364,Athur
596,586966,Atikivaripalem
601,589252,Atkuru
385,588309,Atlapadu
1,588987,Atlapragada
34,593358,Atlur
34,593358,Atlur
Atmakur,593982,Atmakur
35,594960,Atmakur
35,594960,Atmakur
36,593982,Atmakur
137,589822,Atmakur
598,591592,Atmakur
326,589993,Atmakur (OG)
382,583147,Atmaramuni Agraharam
38,587563,Atreyapuram
209,583111,Attada
406,580763,Attali
19,589939,Attalur
495,596987,Attikuppam
39,588553,Attili
39,588553,Attili
39,588553,Attili
144,589141,Atukuru
246,590732,Audi Pudi
246,590732,Audi Pudi
246,590732,Audi Pudi
269,591684,Audimurthipuram
227,589365,Avakuru
406,580733,Avalangi
537,580944,Avalangi
537,580944,Avalangi
40,589773,Avanigadda
364,588250,Avapadu
364,588250,Avapadu
538,581186,Avatarabad
282,587684,Avidi
282,587684,Avidi
590,595740,Avilala (CT)
349,590806,Avisanavaripalem
507,594669,Avuladatla
442,594768,Avulampalle
297,596967,Avulanatham
553,596508,Avulapalle
180,596864,Avulathimmanapalle
57,594910,Avulenna
341,589680,Avurupudi
458,596053,Avuvaripalle
401,586110,Ayinada
461,592059,Ayyagaripalem
373,594317,Ayyalur (Part)
373,594317,Ayyalur (Part)
243,591273,Ayyanapalem
138,591783,Ayyanapalle
341,589678,Ayyanki
606,596268,Ayyannagaripalle
414,591496,Ayyannakota
69,590055,Ayyannapalem
524,586036,Ayyannapalem
332,591118,Ayyaparaju Palem
308,587978,Ayyaparajugudem
361,592626,Ayyapareddipalem
473,596174,Ayyavandlapalle
473,596174,Ayyavandlapalle
50,594298,Ayyavari Kodur
30,590874,Ayyavari Palle
325,589333,Ayyavari Rudravaram
182,592229,Ayyavaripalem
613,595939,Ayyavaripalem
186,594737,Ayyavaripalle
414,591495,Ayyavaripalle
414,591495,Ayyavaripalle
545,591617,Ayyavaripalle
611,596084,Ayyavaripalle
383,579064,Ayyavaripeta
212,588166,Ayyavaripolavaram
168,594055,B  Agraharam
459,587452,B. Kothuru
509,587833,B. Savaram
300,593922,B. Thandrapadu (OG)
448,588508,B.Kondepadu
42,596122,B.Kothakota
378,595063,B.Pappuru
499,587204,B.Ramannapalem
546,595114,Bachchupalle
11,594550,Bachepalle
131,590625,Bada Puram
369,580589,Badagam
374,581427,Badam
602,588342,Badampudi
602,588342,Badampudi
43,582541,Badangi
308,587981,Badarala
598,591598,Baddepudi
232,591984,Baddevolu
328,592206,Baddevolu
330,590860,Badekhanpeta
336,582715,Badevalasa
42,596124,Badikayalapalle
400,584618,Badimela
287,593803,Badinehal
266,591216,Badineni Palle
243,591251,Baduguleru
10,587653,Baduguvanilanka
424,590609,Badveedu
544,582257,Baggamdhoravalasa
507,594668,Baginayakana Halli
160,582778,Baguvalasa
324,580379,Bahadapalle
558,595826,Bahadur Venkatapuram
486,593657,Bahirajapalle
157,589237,Bahubalendrunigudem
658,590522,Bai Penta
495,596978,Baipparedlapalle
297,596910,Bairaganipalle (Rural)
136,583923,Bairaguda
45,596756,Baireddipalle
36,593987,Bairlutygudem
29,584100,Bairuguda
634,596784,Bairupalle
356,596347,Baitakodiambedu
356,596347,Baitakodiambedu
479,596472,Baitapalle
112,596699,Bakara Narasinga Rayani Peta
112,596699,Bakara Narasinga Rayani Peta
544,582259,Bakkupeta
23,586082,Bakurupalem
121,590818,Bala Puram
66,587531,Balabhadrapuram
284,580093,Balada
5,594069,Baladur
557,581553,Balaga (CT)
511,580852,Balakavi Valasa
560,582970,Balakrishna -Rajapuram
199,580444,Balakrishnapuram
216,587713,Balantharam
438,592877,Balapana Gudur
415,594250,Balapanur
548,593200,Balapanur
548,593200,Balapanur
548,593200,Balapanur
548,593200,Balapanur
289,585690,Balaram
520,587006,Balarampuram
574,595489,Balasamudram
374,581435,Balaseema
556,592959,Balayapalle
291,589933,Balemarru
324,580345,Baligam
414,591494,Balijapalem
489,590043,Balijepalle
489,590043,Balijepalle
631,590409,Balijepalle
557,581552,Balivada
351,589044,Balive
240,580435,Baliyaputtuga
139,592919,Ballakkivaripalle
544,582258,Ballakrishnapuram
628,591235,Ballavaram
100,592509,Ballavolu
243,591287,Balli Palle
48,590683,Ballikurava
39,588552,Ballipadu
405,588779,Ballipadu
571,588123,Ballipadu
157,589234,Balliparru
410,589573,Balliparru
429,589645,Balliparru
254,580469,Balliputtuga
107,593412,Balupalle
289,585677,Balusukura Pakalu
97,590438,Balusulapalem
206,588844,Balusupadu
428,590012,Balusupadu
284,580114,Bammidi
49,594393,Banaganapalle (CT)
31,594172,Banavanur
656,593835,Banavasi
597,591638,Bandaganipalle
518,595700,Bandakindapalle
419,582167,Bandaluppi
564,587997,Bandamcherla
502,595108,Bandameedapalle
222,587616,Bandanapudi
176,597078,Bandapalle
499,587169,Bandapalle
127,588262,Bandapuram
418,595422,Bandarlapalle
54,589085,Bandarugudem
17,587890,Bandarulanka (Ct)
37,591822,Bandarupalle
37,591822,Bandarupalle
568,590002,Bandarupalle
568,590002,Bandarupalle
473,596179,Bandaruvaripalle
328,592197,Bandepalle
50,594293,Bandi Atmakur
648,586735,Bandigedda
206,588857,Bandipalem
564,587984,Bandivarigudem
564,587984,Bandivarigudem
101,591078,Bandlamudi
387,596153,Bandlapai
378,595062,Bandlapalle
477,596556,Bandlapalle
496,593566,Bandlapalle
573,595220,Bandlapalle
437,595634,Bandrevu
437,595634,Bandrevu
70,594698,Bandur
524,586030,Bangarammapalem
147,582729,Bangarammapeta
443,592674,Bangarammapeta
124,583219,Bangarrajupeta
320,582204,Bangaruvalasa
348,583390,Bangurupalle
215,593953,Bannur
215,593953,Bannur
338,594010,Bannur
287,593793,Bantakunta
109,594435,Bantanahal
52,589401,Bantumilli
252,587908,Bantumilli
124,583227,Bantupalle
500,581644,Bantupalle
435,593808,Bapaladoddi
53,590474,Bapatla East (R)
53,590474,Bapatla East (R)
53,590474,Bapatla East (R)
53,590473,Bapatla West (R)
53,590473,Bapatla West (R)
277,586275,Bapiraju Kothapalle
277,586275,Bapiraju Kothapalle
434,588366,Bapirajugudem
54,589079,Bapulapadu
191,594137,Bapuram
304,580911,Baratam
400,584645,Barisingi
341,589687,Barlapudi
47,582290,Barli
400,584589,Barluputtu
52,589395,Barripadu
555,580503,Baruva
435,593810,Basaladoddi
296,595121,Basapuram
296,595121,Basapuram
5,594098,Basarakodu
267,590926,Basava Puram
588,595904,Basavaiahpalem
257,591905,Basavaipalem
18,595378,Basavanahalli
65,583247,Basavapalem
300,593907,Basavapuram
58,591161,Basine Palle
58,591161,Basine Palle
545,591623,Basinenipalle
169,594743,Basinepalle
314,596142,Basinikonda (Part)
314,596142,Basinikonda (Part)
